state,lean
Alabama,27
Alaska,16
Arizona,8
Arkansas,26
California,-22
Colorado,0
Connecticut,-10
Delaware,-12
Florida,6
Georgia,13
Hawaii,-36
Idaho,33
Illinois,-13
Indiana,17
Iowa,9
Kansas,21
Kentucky,24
Louisiana,19
Maine,-3
Maryland,-23
Massachusetts,-23
Michigan,-6
Minnesota,-1
Mississippi,15
Missouri,21
Montana,18
Nebraska,25
Nevada,1
New Hampshire,1
New Jersey,-11
New Mexico,-8
New York,-22
North Carolina,4
North Dakota,34
Ohio,6
Oklahoma,33
Oregon,-7
Pennsylvania,1
Rhode Island,-24
South Carolina,16
South Dakota,28
Tennessee,28
Texas,17
Utah,30
Vermont,-24
Virginia,-7
Washington,-15
West Virginia,33
Wisconsin,3
Wyoming,45